name,tribe
Adetosoye,yoruba
Adisa,yoruba
ajayi,yoruba
Akin,yoruba
alake,yoruba
apara,yoruba
arije,yoruba
Ayinde,yoruba
Ayodele,yoruba
Ayomide,yoruba
Ayotomiwa,yoruba
Ayotunde,yoruba
Babasolaf,yoruba
Babatunji,yoruba
Banjoko,yoruba
Bankole,yoruba
Bayode,yoruba
Bayowa,yoruba
Bolade,yoruba
Damola,yoruba
Durojaiye,yoruba
Durosinmi,yoruba
eniola,yoruba
Esupofo,yoruba
Farayioluwa,yoruba
Fiyifolu,yoruba
Folarin,yoruba
Folu,yoruba
Gbadebo,yoruba
gbejesuga,yoruba
Idogbe,yoruba
Ifelewa,yoruba
ige,yoruba
Iles,yoruba
Inioluwa,yoruba
Iranola,yoruba
Isamotu Olalekan,yoruba
Iseoluwa,yoruba
Iyanu-Oluwa,yoruba
toluwalase,yoruba
Jaiyesimi,yoruba
Jesutosin,yoruba
jibola,yoruba
Jimoh,yoruba
Kaseko,yoruba
Simi,yoruba
kasope,yoruba
kehinde,yoruba
kishi,yoruba
Mabayoje,yoruba
Majekodunmi,yoruba
Mayowa,yoruba
Mobo,yoruba
Mobolaji,yoruba
Modadeola,yoruba
Modupeore,yoruba
Modurodoluwa,yoruba
Modurolorilerioluwa,yoruba
Mofetoluwa,yoruba
Mofihinfoluwa,yoruba
Mofolorunso,yoruba
Monjolaoluwa,yoruba
Morenikeji,yoruba
Naade,yoruba
Niyilolawa,yoruba
Numilekunoluwa,yoruba
Oba,yoruba
Obafemi,yoruba
Obaloluwa,yoruba
Obasolape,yoruba
Obatotosinloluwa,yoruba
Odunayo,yoruba
Ogooluwa,yoruba
ola,yoruba
Olabamiji,yoruba
Olabisi,yoruba
Olabode,yoruba
Oladayo,yoruba
oladeji,yoruba
olajide,yoruba
Olajuwan,yoruba
Olamilekan,yoruba
Olayinka,yoruba
Olorunyomi,yoruba
Olumoroti,yoruba
Olusola,yoruba
Oluwagbenga,yoruba
Oluwatoke,yoruba
Oson,yoruba
Pamilekunayo,yoruba
peleyeju,yoruba
Remilekun,yoruba
Rereloluwa,yoruba
Ropo,yoruba
Sangodele,yoruba
Sareola,yoruba
Seriki,yoruba
Seye,yoruba
Shakale,yoruba
Shoyebi,yoruba
Sijuwade,yoruba
Similoluwa,yoruba
Sunkanmi,yoruba
taiwo,yoruba
temi,yoruba
olayemi,yoruba
tayo,yoruba
mosope,yoruba
afolabi,yoruba
tobi,yoruba
tola,yoruba
tolani,yoruba
akinola,yoruba
